language	premise	hypothesis	label
hch	ik+ aix+ m+ ánene m+rawiyat+ka muyuti wewiwa tukarik+ p+y+wawe ik+ wa parewiya tsie kiekatari.	ik+ kiekatari waparewie te+teri memeita xeiya m+pa+ metey+k+ h+awet+ ik+tsie artes.	neutral
hch	teuxeti wauni yu xexuieme xenka participaro wawawe ik+ tsie witari makamie tsie ik+ hutatewiyari heimana a+x+wi tukari temanti ax+anik+ tita tenteta unieni kaye awekaku tukari m+ka in+ari ik+ haika tewiyari ik+ tsie kunio.	teuka ware+ h+awe iyá menka teupa rewi ik+ witari tsie.	contradiction
hch	mana peuka yuku hayeika wani.	¡ peuku nuani yemek+ aix+ ena!.	contradiction
hch	kam+tsi, ik+ yuri tinaime teutewa kunami rieni meta mekay+ k+x+r+wame.	tapinite kwawa pit+a aix+ menti y+ni.	entailment
hch	amikieri p+ h+k+ muyunaki erie memeti net+anik+ ik+ 85 mayuti wewixime.	ik+ imikieri teme xeiya p+ka h+k+ nie m+ka reuyewetse.	neutral
hch	hu,hu,hu, ni atsi nuekara eriwani xika nexeiyani tumini uyemanet+.	xeimie aix+ p+y+we xika ik+ meny+n+ + tumini me hexeiyani.	neutral
hch	kam+tsi, nepexeiya VCR neuware kutuiri wa+kame x+a axame y+nekaik+ meuw+t+ka meta m+k+ warana yenenet+wa aix+ mem+ anene.	nepe xeiya xeime ti +keme akuxi p+y+we.	entailment
hch	00 memi yetua xeime tsie programa mentewa ik+t+arie tsie kemente yurieni xeime tsie tewi panu pine asistencia te+teri wa hetsia puti +na haika $.	ik+ a+x+ wi por ciento te+teri ik+ xeitewiyari heimana a+x+wi witari dela nación mepu pine memeta axe tsie ts+teri.	neutral
hch	ik+ pe h+k+ t+kai pexuawe kai 158 tepeita tsanax+ tawari tepeiti n+it+a x+a tekwauye x+r+we nik+.	teukwe pit+arie temei may+ani.	contradiction
hch	nepexeiya wa+kawa uximaya tsika.	nepexeiya uximaya tsika.	entailment
hch	m+k+ p+kekame Grecia m+k+ta p+kekame kiekari tsiyeu kaku Grecia reyete wakaku Tokalleka, peyet+a ena America, neura eriwa ik+ 1969 meta 1970 peti ne+kix+ xeimieme.	p+ h+k+ uki griego.	entailment
hch	wa kutsi pankuke,panakat+a escalones tsie anatutsit+, pe miekai carretera hepa+tsita meta petakie mana.	Granny peyu hayewax+ kí aix+ aneme ta.	contradiction
hch	tam+, tinaime ri peura ka ut+a, manari pepika tsut+ani.	newa kexí hik+ xeimie me.	contradiction
hch	panpa riyutsi xemu parewi ik+ Museo meta Arte wana Indianapoli wana 1999.	tepautate mamawie pentiu parewik+ ik+ museo.	entailment
hch	m+k+ etsiwa meutaku maté, peura maté meta aix+ meuteyu maté menteti naweni nieka kwinie karanti yeikame.	ya meuta eriwa tumini meme xeiya manta hanik+.	entailment
hch	m+k+ p+ h+k+ wat+t+ xeik+a kename,nepuyuri hauti hurakaku ik+ 16 wiyari nem+ ti+y+ta ikit+a ik+ m+rayu wewiwa aix+ m+ti anene.	nepaye yewekai kuyaxi mente kuma+wa waikame x+a wiyari.	entailment
hch	neuxei, wa at+ yu iwama meuwa reku eiri waniu meuta eriwakai kename metuxat+ me há k+ne kekai.	mepeiye weiyakai me iwatat+ wet+ tukarik+.	contradiction
hch	neuka ramate x+ka pehamieni ena Texas, wat+t+ neukara maté, axap+ka tiniuki nikeyu m+k+  wat+t+ etsiwa axam+ ti xeiyarie etsiwa mana, menteku eriwa.	wat+t+ waik+ ik+ memunua hetsiena ik+ armas axawareti mat+ani wana Texas.	contradiction
hch	kwit+wa, xewit+ hamiku ik+ IRT pa h+awarieni yam+ta y+niki niukame tá.	x+ka peyeim+k+ni muwa perawiyat+, peutipare wieni $ 100 xexuime niukame.	neutral
hch	m+ranupine, mitiwewiwa tsiere miti wipa tsi aneneme kemarite, hea+ iwite wanapait+ ik+ Mary Todd wana Abe Lincoln lllinois, ik+ iwite mieme tsie m+tineiyane tsie 'A Christmas Carol'.	ik+ kemari xeik+a p+wewiya mamate k+.	neutral
hch	oh, aix+ heiwak+a nepe xeiya aix+ m+tiku yuruwa nepini, tepexeiya hutame PC takie per+ ni xewit+ hutat+ yeme kwatine pini, meta ni xewit+ kwara wiya uximaya tsika tsie.	ne kie nepe xeiya hutame aix+ m+tiku yuruwa.	entailment
hch	ik+ kurona titewat+ raureri, quename m+pa+ any+ne mentayu iwatsie, ik+ tupiriya h+k+t+ oriwo kename any+ne aix+ iyarik+ mentetenik+ tsiere aix+ mentekuyuruwa mukuweririke tsie ixuriki y+n+kame meme huruwe tsie  ixuriki.	ik+ ixuriki p+ ane beige.	neutral
hch	panpa riyutsi xemu parewi ik+ Museo meta Arte wana Indianapoli wana 1999.	panpa riyutsi, per+ta m+pa+ teukauti yuane  kename hauyewetse menteo parewi wana 1999.	contradiction
hch	hu xeik+a tepeiti utax+ tixa+t+ p+re xuawe ik+ pa+ pat+a tukarieya atsi kara eriwakaku m+k+.	peinakix+ ik+ fiesta atsi kara eriwakaku.	neutral
hch	ik+ xeik+a waik+ abogados tsiere kuyaxi meta itsikate, yu nait+ menta kumate.	waik+ mana p+kauye +arikem+k+ tsie legal.	contradiction
hch	presidente ti wa xaxat+wame ik+ administración .	ke ane am+ reute tewi mat+a presidente meny+k+ xexe+riwa Directiva.	neutral
hch	ik+ yamaku ane tsiere p+y+we axamauti yuriexi+ani tem+te mate ik+ xeime tsie festival makamie tsie witari.	wat+t+ teke xeiyat+ payaní festival ik+ maka mietsie witari.	entailment
hch	ik+ memeita xatak+ ik+ yu p+retsirenti menyuparewie tametsie wana Indiana mat+ari muyuta wawi tametsie timieme ik+tsie país memaye at+anik+ tita menteuti pí wana mentewayu +kit+a tsie tametsie m+pa+ anemek+.	Indiana meri p+h+k+ waretin+i tametek+ estatal kename re uximayá ik+k+ etsikuera ik+ hepa+.	entailment
hch	kam+tsi nait+ yaxeik+a, ik+ me+h+k+ yu haikat+, ik+, pilotos U2 mema yetei ik+ itsikame Kennedy wana Washington ik+ mat+a kuyaxi wa ukiyari May.	ik+ h+k+ kuyaxi wa ukiyari May meta yu haikame pilotos U2 ik+ oficina ik+ itsikame Kennedy.	entailment
hch	teuxeti wauni yu xexuieme xenka participaro wawawe ik+ tsie witari makamie tsie ik+ hutatewiyari heimana a+x+wi tukari temanti ax+anik+ tita tenteta unieni kaye awekaku tukari m+ka in+ari ik+ haika tewiyari ik+ tsie kunio.	yatep+ tiyuani ik+ tsie correo makamie tsie hutatewiyari heimana a+x+wi tukaritsie ke ane menkate parewi wawe ik+tsie witari fiscal.	neutral
hch	perekate r+wax+ The firm.	¿ metiku nanake penetsita ni+wirieni ne +kiya pemeka +kiek+.	neutral
hch	uh-huh, nait+ aix+ nepet+ari.	hu yeme aix+ p+y+ nentiutaxa ahamat+a meta neutita xata ahamat+a uxa a.	neutral
hch	ik+ aix+ m+ ánene m+rawiyat+ka muyuti wewiwa tukarik+ p+y+wawe ik+ wa parewiya tsie kiekatari.	ik+ kiekari mana meukauye +ari te+teri.	contradiction
hch	neutiku eriwa kename aix+ u it+arie meta wa iniet+ ik+ tsie axa m+ ane.	neura mate peutiyu rieni naime tita penra axet+yani pemana yewenik+ cancer.	neutral
hch	heiwat+ neura eriwa pep+ h+k+t+ni perawiyat+ pera eriwat+ kename hutatewiyari heimana a+x+wi witari tete kuxatat+ kepa+ pemuyetua parewiya $ hutatewiyari heimana a+x+wi hik+ witari tsie.	m+ tiuyumí aik+ pat+a hutatewiyari heimana tamamata haika dolares.	neutral
hch	kuta tetamate kepa+ temuti yuani.	¿ kepa+ teteyurie m+pa+ temuti uanik+ ?.	entailment
hch	yam+ reutewi witari fiscal meta ke ane mu mie, ik+ etsikuera de derecho pe in+ix+ani menyuti m+irek+ hipat+ ameyu pa+met+ muku ut+ka xieyame, pa+met+ wa+kawa ik+ 400 000 $.	ik+ kurekiu wapini awukaru tsixi mepeyu ti hax+atiani memanka +iriyariek+ tumini.	entailment
hch	hipat+ mepiye weiya memeiti maní tem+te máte.	aix+ teute húni kepauka memi kuxatani memiku xatani capital.	neutral
