language	premise	hypothesis	label
hch	uh yemek+ ne peti nutui xipi.	m+k+ matsi xa anet+.	contradiction
hch	Eh ik+ aix+ p+ ane yuri pat+a, p+ nanai y+k+, nepant+a seminario me h+k+t+kai m+k+, aix+ pey+ xeik+a pe h+k+t+kai ukarawe tsixi wa pini.	nepantia wana seminario me it+arie ik+ satelite tsie.	entailment
hch	presidente ti wa xaxat+wame ik+ administración .	ik+ presidente meny+k+ xexe+riwa mentewa ku xaxat+wa ik+ administracion.	entailment
hch	neukware xeiya wa+kawa iwaurika.	neure xeiya tinaime iwaurika tita nereuye h+at+ nema yani.	contradiction
hch	peuta tsanix+a hai tuxat+ naitsarie aix+ rek+y+ ta heima meuyuawi.	ta heima aix+ p+reu ane meta pau yuawi, puxuawe hai éna metá humap+ta.	entailment
hch	aix+, neureu eriekai tixa+ kuane reuye h+akai m+pa+ ke nem+ reta h+awarie tsie ik+ nemaye wekai tsie.	m+k+ atsi p+kautaine yemetk+.	contradiction
hch	kepauka ne nemekatei mana, Texas xeik+a nepe xeiyakai cicuenta meta aix+wi miriyari.	waik+ meri pait+ neukwe katei wana Texas.	contradiction
hch	hu, kename wat+t+ neurek+t+a wana fabrica, per+ eh.	¡ hu! Peikuwau meta peitawewi kaha xutsinie kame.	contradiction
hch	ket+, ik+ xa+tsie meukata wiya me+ h+k+.	pat+a xewit+ karamai kaku.	entailment
hch	aix+, mepeuti k+ne amaye tewi tsie.	mepana yeneika meta yunait+ meuwa enie.L	entailment
hch	peta yuakai wana Nueva Yoork waniu menwareu iwatayuk+ hipame yu iwama ik+ iwaya,mepe kunuax+a meukwata maikai kemente k+ne kekai aimieme m+k+ pekunua wa hamat+a.	m+k+ t+ma kwaware ku iwatax+ yu iwama.	contradiction
hch	aix+ nem+ reu erie ik+ IRT p+ h+k+ manuyeka neime tsie país muyetua kemuti y+ teatrales wapini mentey+ +k+t+a.	ik+ IRT payewe waikari tsie ik+ peruta menketsi t+we.	contradiction
hch	m+k+ peh+k+ t+kai karayuni t+kai hu wa at+, muwa petikatei afuera meta peura maté kwuane tse nakix+ per+ yaxeik+a ik+ m+p+ nepa tiy+ t+ya.	p+ke h+k+ t+kai aix+ meti xeiya.	entailment
hch	m+k+ p+ h+k+ wat+t+ xeik+a kename,nepuyuri hauti hurakaku ik+ 16 wiyari nem+ ti+y+ta ikit+a ik+ m+rayu wewiwa aix+ m+ti anene.	nepaye yewekai kuyaxi mente kuma+wa waikame x+a wiyari.	entailment
